Nume	Prenume	Instanta
FESAN	CĂTĂLINA LOREDANA	TribunalulBACAU
GIREADĂ	DANIELA	TribunalulBACAU
GRANCEA	GABRIEL	TribunalulBACAU
GRANCEA	LUMINIŢA	TribunalulBACAU
GRECU	SIMONA LOREDANA	TribunalulBACAU
HRITCU	LENUŢA	TribunalulBACAU
MAGHIARU	MARGARETA	TribunalulBACAU
MATEIŞ	PETRONELA - MARIA	TribunalulBACAU
MUNTEANU	MARIA	TribunalulBACAU
NIMINEŢ	CĂTĂLIN	TribunalulBACAU
OBOROCIANU	MARIA	TribunalulBACAU
PASCARU	BRÎNDUŞA	TribunalulBACAU
PĂTRAŞC BĂLAN	IONELA DIANA	TribunalulBACAU
PETRARU	ELENA	TribunalulBACAU
PÎNZARU	OANA GEORGETA	TribunalulBACAU
POCOVNICU	IOANA - LILIANA	TribunalulBACAU
PRUTEANU 	CRISTINA MARIANA	TribunalulBACAU
RADU	CRISTINA - MĂDĂLINA	TribunalulBACAU
RUSU DONIGHEVICI	DANIELA	TribunalulBACAU
SAVA	LIDIA CARMEN RODICA	TribunalulBACAU
SPIRIDON	CRISTINA CAMELIA	TribunalulBACAU
ŞTEFANESCU	DANA	TribunalulBACAU
VELESCU	AURICA	TribunalulBACAU
AGAFIŢEI	ŞTEFAN	JudecatoriaBACAU
BĂISAN	IULIANA	JudecatoriaBACAU
BURDUJA	ELENA ANDREEA	JudecatoriaBACAU
BORDEIANU	BIANCA ELENA	JudecatoriaBACAU
CHIRIAC	IULIA MONICA	JudecatoriaBACAU
CHIRIAC – MANOLE	MANUEL	JudecatoriaBACAU
COLIBABA	TATIANA MARIA	JudecatoriaBACAU
COTORANU	DIANA	JudecatoriaBACAU
CRĂCIUN	MIHAELA	JudecatoriaBACAU
CURPĂN	VASILE  SORIN	JudecatoriaBACAU
DABIJA	MIHAELA	JudecatoriaBACAU
DAMIAN	MIA CRISTINA	JudecatoriaBACAU
DĂNĂLACHE	MARIA SORINA	JudecatoriaBACAU
DOGAR	ANDREIA SIMONA	JudecatoriaBACAU
DOLGOŞ	PAUL DORIN	JudecatoriaBACAU
ENACHE 	SILVIU CĂTĂLIN	JudecatoriaBACAU
IONESCU	CAMELIA	JudecatoriaBACAU
IVESCU	IULIA MĂDĂLINA	JudecatoriaBACAU
JERCAN	PETRONELA MIHAELA	JudecatoriaBACAU
LEONTE	IRINA ELENA	JudecatoriaBACAU
LUPAŞCU	SERGIU	JudecatoriaBACAU
MĂGIRESCU	MARIA LOREDANA	JudecatoriaBACAU
MĂRMUREANU	SILVIA	JudecatoriaBACAU
MENGONI	SILVIA	JudecatoriaBACAU
MUNTEANU 	VIOREL	JudecatoriaBACAU
PALADE	ROXANA MIHAELA	JudecatoriaBACAU
PĂDURARU	LAURENŢIU	JudecatoriaBACAU
PANFIL	CARMEN SIMONA	JudecatoriaBACAU
PÎRJOL - NĂSTASE	ELENA	JudecatoriaBACAU
POPOVENIUC	ALEXANDRU	JudecatoriaBACAU
POPOVICI	ANDREEA - MANUELA	JudecatoriaBACAU
PUSCAŞU	ALINA - CRISTINA	JudecatoriaBACAU
ŞTEFĂNESCU	ROXANA - IRINA	JudecatoriaBACAU
ŢIMIRAŞ	CIPRIAN - CONSTANTIN	JudecatoriaBACAU
ADAM	DANIEL EUGEN	JudecatoriaONESTI
ANDRONACHE	GHEORGHE	JudecatoriaONESTI
ANGHEL	ION	JudecatoriaONESTI
ANGHEL	LUMINIŢA	JudecatoriaONESTI
ASAVEI	ADRIAN	JudecatoriaONESTI
BĂDĂU	LILIANA	JudecatoriaONESTI
CRĂCIUN 	ANCA	JudecatoriaONESTI
LUPU 	MARIA CRISTINA	JudecatoriaONESTI
POPA	DANIELA	JudecatoriaONESTI
PURICE	SIMINA	JudecatoriaONESTI
PUŞCAŞU	LILIANA MIRELA	JudecatoriaONESTI
STROE - MUNTEANU	LILIANA	JudecatoriaONESTI
SMARANDI	COSTIN	JudecatoriaONESTI
SMARANDI 	LAURA	JudecatoriaONESTI
ALEXANDRU	MAGDALENA LUIS	JudecatoriaMOINESTI
CĂILEAN	IOAN DĂNUŢ	JudecatoriaMOINESTI
DARIE	DANIEL	JudecatoriaMOINESTI
FILOTE	IOANA ANA MARIA	JudecatoriaMOINESTI
GROAPA 	CARMEN ANEMARIA	JudecatoriaMOINESTI
NEGRII	LUMINIŢA GABRIELA	JudecatoriaMOINESTI
PAŢILEA	CARMEN  NELA	JudecatoriaMOINESTI
PĂTRAŞC BĂLAN	MIHAI CRISTINEL	JudecatoriaMOINESTI
PRICHICI	ANDREEA	JudecatoriaMOINESTI
SANDU	MARIA IRINA	JudecatoriaMOINESTI
STAN	ANCA MĂDĂLINA	JudecatoriaMOINESTI
MAFTEI	SMARANDA CLAUDIA	JudecatoriaPODUTURCULUI
MÎRŢ	MIHAELA	JudecatoriaPODUTURCULUI
VACARIU	BOGDAN CONSTANTIN	JudecatoriaPODUTURCULUI
ARONESCU	NICOLAIE TIBERIU	JudecatoriaBUHUSI
CANDET	ANA-MARIA	JudecatoriaBUHUSI
IONIŢĂ	MIHAELA ADINA	JudecatoriaBUHUSI
PĂCURARU	ANA	JudecatoriaBUHUSI
ACIOBANITEI	MARIA SILVIA	TribunalulNEAMT
AMZA	ELENA NICOLETA	TribunalulNEAMT
ATUDOSIEI	MARIA	TribunalulNEAMT
BACIU	VALENTINA	TribunalulNEAMT
BALTAG	VASILE	TribunalulNEAMT
BALTAG	GABRIELA	TribunalulNEAMT
BOTEZATU	CRISTIAN EDUARD	TribunalulNEAMT
BOTEZATU	ELENA GABRIELA	TribunalulNEAMT
BUZDEA	CARMEN	TribunalulNEAMT
